"subject" "activity" "mean(c(2:562))"
" 1" "1" 282
" 1" "2" 282
" 1" "3" 282
" 1" "4" 282
" 1" "5" 282
" 1" "6" 282
" 2" "1" 282
" 2" "2" 282
" 2" "3" 282
" 2" "4" 282
" 2" "5" 282
" 2" "6" 282
" 3" "1" 282
" 3" "2" 282
" 3" "3" 282
" 3" "4" 282
" 3" "5" 282
" 3" "6" 282
" 4" "1" 282
" 4" "2" 282
" 4" "3" 282
" 4" "4" 282
" 4" "5" 282
" 4" "6" 282
" 5" "1" 282
" 5" "2" 282
" 5" "3" 282
" 5" "4" 282
" 5" "5" 282
" 5" "6" 282
" 6" "1" 282
" 6" "2" 282
" 6" "3" 282
" 6" "4" 282
" 6" "5" 282
" 6" "6" 282
" 7" "1" 282
" 7" "2" 282
" 7" "3" 282
" 7" "4" 282
" 7" "5" 282
" 7" "6" 282
" 8" "1" 282
" 8" "2" 282
" 8" "3" 282
" 8" "4" 282
" 8" "5" 282
" 8" "6" 282
" 9" "1" 282
" 9" "2" 282
" 9" "3" 282
" 9" "4" 282
" 9" "5" 282
" 9" "6" 282
"10" "1" 282
"10" "2" 282
"10" "3" 282
"10" "4" 282
"10" "5" 282
"10" "6" 282
"11" "1" 282
"11" "2" 282
"11" "3" 282
"11" "4" 282
"11" "5" 282
"11" "6" 282
"12" "1" 282
"12" "2" 282
"12" "3" 282
"12" "4" 282
"12" "5" 282
"12" "6" 282
"13" "1" 282
"13" "2" 282
"13" "3" 282
"13" "4" 282
"13" "5" 282
"13" "6" 282
"14" "1" 282
"14" "2" 282
"14" "3" 282
"14" "4" 282
"14" "5" 282
"14" "6" 282
"15" "1" 282
"15" "2" 282
"15" "3" 282
"15" "4" 282
"15" "5" 282
"15" "6" 282
"16" "1" 282
"16" "2" 282
"16" "3" 282
"16" "4" 282
"16" "5" 282
"16" "6" 282
"17" "1" 282
"17" "2" 282
"17" "3" 282
"17" "4" 282
"17" "5" 282
"17" "6" 282
"18" "1" 282
"18" "2" 282
"18" "3" 282
"18" "4" 282
"18" "5" 282
"18" "6" 282
"19" "1" 282
"19" "2" 282
"19" "3" 282
"19" "4" 282
"19" "5" 282
"19" "6" 282
"20" "1" 282
"20" "2" 282
"20" "3" 282
"20" "4" 282
"20" "5" 282
"20" "6" 282
"21" "1" 282
"21" "2" 282
"21" "3" 282
"21" "4" 282
"21" "5" 282
"21" "6" 282
"22" "1" 282
"22" "2" 282
"22" "3" 282
"22" "4" 282
"22" "5" 282
"22" "6" 282
"23" "1" 282
"23" "2" 282
"23" "3" 282
"23" "4" 282
"23" "5" 282
"23" "6" 282
"24" "1" 282
"24" "2" 282
"24" "3" 282
"24" "4" 282
"24" "5" 282
"24" "6" 282
"25" "1" 282
"25" "2" 282
"25" "3" 282
"25" "4" 282
"25" "5" 282
"25" "6" 282
"26" "1" 282
"26" "2" 282
"26" "3" 282
"26" "4" 282
"26" "5" 282
"26" "6" 282
"27" "1" 282
"27" "2" 282
"27" "3" 282
"27" "4" 282
"27" "5" 282
"27" "6" 282
"28" "1" 282
"28" "2" 282
"28" "3" 282
"28" "4" 282
"28" "5" 282
"28" "6" 282
"29" "1" 282
"29" "2" 282
"29" "3" 282
"29" "4" 282
"29" "5" 282
"29" "6" 282
"30" "1" 282
"30" "2" 282
"30" "3" 282
"30" "4" 282
"30" "5" 282
"30" "6" 282
